iter	Passed	Remaining
0	147	147096
1	150	75230
2	152	50737
3	154	38441
4	156	31081
5	158	26237
6	162	23080
7	165	20555
8	167	18495
9	169	16829
10	171	15462
11	174	14351
12	176	13418
13	179	12666
14	182	11951
15	184	11319
16	186	10773
17	188	10292
18	190	9844
19	194	9535
20	196	9161
21	198	8821
22	200	8507
23	202	8217
24	204	7957
25	205	7711
26	209	7543
27	211	7330
28	213	7134
29	214	6947
30	216	6780
31	218	6610
32	220	6458
33	223	6357
34	225	6230
35	227	6105
36	229	5983
37	231	5865
38	233	5756
39	235	5650
40	240	5616
41	242	5522
42	244	5434
43	246	5347
44	248	5266
45	249	5184
46	254	5163
47	256	5088
48	259	5028
49	261	4962
50	263	4894
51	264	4828
52	268	4798
53	271	4753
54	273	4698
55	275	4648
56	277	4596
57	279	4543
58	282	4508
59	285	4475
60	287	4427
61	289	4380
62	291	4334
63	293	4297
64	295	4253
65	299	4245
66	302	4206
67	303	4165
68	305	4124
69	307	4084
70	309	4047
71	311	4011
72	315	4008
73	317	3974
74	319	3939
75	321	3908
76	323	3873
77	325	3842
78	327	3823
79	330	3802
80	332	3772
81	334	3744
82	335	3705
83	337	3677
84	339	3652
85	341	3627
86	344	3615
87	346	3590
88	348	3568
89	350	3547
90	353	3527
91	355	3505
92	361	3528
93	363	3505
94	365	3483
95	367	3460
96	369	3439
97	371	3419
98	375	3415
99	377	3397
100	379	3378
101	381	3363
102	385	3357
103	388	3350
104	393	3356
105	396	3342
106	398	3322
107	399	3302
108	401	3283
109	406	3289
110	408	3269
111	409	3249
112	411	3233
113	413	3215
114	415	3199
115	417	3185
116	420	3175
117	422	3159
118	424	3142
119	426	3125
120	428	3110
121	429	3092
122	431	3077
123	434	3072
124	436	3057
125	439	3046
126	440	3028
127	442	3016
128	444	3003
129	446	2988
130	451	2994
131	453	2980
132	455	2966
133	457	2955
134	459	2942
135	461	2930
136	465	2933
137	467	2921
138	469	2909
139	471	2898
140	474	2887
141	475	2872
142	477	2861
143	480	2857
144	482	2847
145	484	2835
146	486	2822
147	488	2811
148	490	2799
149	492	2788
150	495	2783
151	496	2772
152	498	2761
153	500	2751
154	502	2740
155	504	2730
156	506	2719
157	510	2722
158	513	2715
159	515	2705
160	516	2692
161	518	2683
162	520	2673
163	524	2674
164	526	2665
165	528	2656
166	530	2646
167	532	2636
168	534	2626
169	538	2628
170	540	2619
171	542	2609
172	544	2601
173	545	2591
174	547	2583
175	549	2574
176	554	2577
177	556	2568
178	557	2559
179	559	2550
180	561	2542
181	563	2534
182	567	2534
183	570	2528
184	572	2521
185	574	2513
186	576	2506
187	578	2500
188	583	2504
189	585	2497
190	587	2489
191	589	2481
192	591	2473
193	593	2466
194	596	2462
195	599	2459
196	601	2450
197	602	2442
198	604	2433
199	606	2426
200	608	2418
201	610	2412
202	613	2408
203	615	2400
204	617	2393
205	619	2386
206	621	2380
207	623	2374
208	629	2383
209	631	2376
210	633	2369
211	636	2364
212	638	2357
213	639	2350
214	646	2359
215	648	2352
216	650	2345
217	651	2338
218	653	2331
219	655	2324
220	658	2321
221	660	2315
222	662	2308
223	664	2301
224	666	2295
225	668	2288
226	670	2283
227	675	2285
228	677	2279
229	680	2279
230	682	2273
231	685	2267
232	689	2269
233	691	2264
234	693	2258
235	695	2252
236	697	2246
237	699	2239
238	703	2239
239	705	2234
240	707	2228
241	709	2222
242	711	2215
243	712	2208
244	714	2202
245	718	2201
246	720	2195
247	721	2188
248	723	2181
249	725	2175
250	726	2168
251	728	2162
252	729	2155
253	732	2152
254	735	2147
255	736	2141
256	738	2135
257	740	2129
258	742	2123
259	744	2117
260	745	2111
261	750	2114
262	752	2110
263	755	2105
264	757	2101
265	759	2096
266	765	2102
267	767	2097
268	769	2092
269	772	2087
270	774	2082
271	775	2076
272	780	2078
273	782	2073
274	784	2068
275	786	2062
276	787	2056
277	789	2050
278	791	2045
279	795	2045
280	797	2040
281	799	2034
282	800	2028
283	802	2022
284	803	2016
285	805	2010
286	807	2006
287	810	2002
288	811	1996
289	813	1990
290	814	1984
291	816	1979
292	817	1973
293	819	1968
294	821	1963
295	823	1959
296	826	1955
297	827	1949
298	829	1944
299	830	1938
300	832	1933
301	834	1927
302	835	1922
303	837	1916
304	839	1913
305	841	1908
306	843	1903
307	844	1897
308	846	1892
309	848	1888
310	850	1883
311	851	1877
312	854	1875
313	856	1870
314	857	1865
315	859	1860
316	861	1856
317	863	1852
318	865	1847
319	866	1842
320	870	1841
321	872	1836
322	873	1831
323	875	1826
324	877	1821
325	878	1816
326	880	1811
327	881	1806
328	884	1803
329	885	1798
330	887	1793
331	888	1788
332	890	1783
333	891	1778
334	893	1773
335	894	1768
336	896	1763
337	898	1759
338	900	1756
339	902	1751
340	903	1746
341	905	1742
342	907	1737
343	908	1733
344	910	1728
345	911	1723
346	916	1724
347	917	1719
348	919	1715
349	921	1710
350	922	1705
351	924	1702
352	926	1697
353	928	1693
354	930	1690
355	931	1685
356	933	1681
357	935	1677
358	937	1673
359	938	1668
360	940	1664
361	942	1660
362	946	1661
363	948	1657
364	950	1652
365	952	1650
366	954	1645
367	955	1641
368	957	1637
369	962	1639
370	964	1635
371	966	1631
372	968	1627
373	970	1623
374	971	1619
375	976	1620
376	978	1617
377	980	1613
378	981	1608
379	983	1604
380	985	1600
381	986	1596
382	989	1593
383	992	1591
384	993	1587
385	995	1583
386	996	1579
387	998	1575
388	1000	1571
389	1002	1567
390	1005	1566
391	1007	1562
392	1009	1558
393	1011	1555
394	1012	1550
395	1014	1546
396	1015	1542
397	1017	1539
398	1019	1535
399	1021	1532
400	1023	1528
401	1024	1524
402	1026	1520
403	1027	1516
404	1029	1512
405	1030	1508
406	1032	1504
407	1035	1502
408	1037	1499
409	1039	1495
410	1040	1491
411	1042	1487
412	1043	1483
413	1045	1480
414	1047	1476
415	1049	1473
416	1051	1470
417	1053	1466
418	1054	1462
419	1056	1459
420	1058	1455
421	1059	1451
422	1061	1447
423	1062	1443
424	1065	1441
425	1067	1438
426	1068	1434
427	1070	1430
428	1071	1426
429	1073	1422
430	1075	1419
431	1076	1415
432	1078	1412
433	1081	1409
434	1082	1406
435	1084	1402
436	1086	1399
437	1089	1397
438	1091	1394
439	1097	1396
440	1099	1393
441	1101	1389
442	1102	1386
443	1104	1382
444	1106	1379
445	1107	1375
446	1110	1373
447	1112	1370
448	1114	1367
449	1115	1363
450	1117	1360
451	1119	1356
452	1120	1353
453	1122	1349
454	1125	1348
455	1127	1345
456	1129	1341
457	1130	1338
458	1132	1335
459	1134	1332
460	1136	1329
461	1143	1331
462	1145	1328
463	1147	1325
464	1149	1322
465	1151	1319
466	1153	1316
467	1156	1314
468	1158	1312
469	1160	1308
470	1162	1305
471	1164	1303
472	1166	1299
473	1172	1300
474	1174	1297
475	1176	1294
476	1178	1292
477	1180	1289
478	1182	1286
479	1188	1287
480	1190	1284
481	1192	1281
482	1194	1278
483	1196	1275
484	1198	1272
485	1202	1271
486	1204	1268
487	1206	1266
488	1208	1263
489	1210	1260
490	1212	1256
491	1220	1260
492	1223	1258
493	1225	1255
494	1227	1252
495	1231	1251
496	1235	1250
497	1237	1247
498	1240	1245
499	1243	1243
500	1249	1244
501	1252	1242
502	1254	1239
503	1256	1236
504	1258	1233
505	1263	1233
506	1266	1231
507	1268	1228
508	1273	1228
509	1275	1225
510	1280	1225
511	1282	1222
512	1284	1219
513	1286	1216
514	1289	1214
515	1291	1211
516	1295	1210
517	1297	1207
